raceId,driverRef,driver_overall_avg,driver_track_avg,driver_street_avg,driver_high_deg_avg
141,fisichella,11.176470588235293,5.0,10.933333333333334,12.363636363636363
141,button,11.235294117647058,11.0,10.8,8.636363636363637
141,montoya,10.5,10.5,10.5,10.5
141,trulli,13.235294117647058,15.0,13.133333333333333,12.909090909090908
141,hakkinen,4.823529411764706,17.0,4.066666666666666,4.2727272727272725
141,ralf_schumacher,9.647058823529411,3.0,9.6,8.727272727272727
141,villeneuve,9.529411764705882,4.0,10.266666666666667,10.272727272727273
141,marques,10.5,10.5,10.5,10.5
141,bernoldi,10.5,10.5,10.5,10.5
141,mazzacane,13.647058823529411,13.0,13.266666666666667,13.272727272727273
142,michael_schumacher,5.055555555555555,1.0,4.625,4.916666666666667
142,barrichello,6.111111111111111,3.0,6.5625,6.666666666666667
142,coulthard,5.0,2.0,5.25,4.583333333333333
142,frentzen,12.833333333333334,19.0,13.8125,12.333333333333334
142,ralf_schumacher,10.11111111111111,16.0,10.125,9.5
142,hakkinen,5.5,4.0,4.875,5.333333333333333
142,verstappen,14.222222222222221,10.0,13.625,15.333333333333334
142,trulli,13.38888888888889,12.0,13.3125,13.166666666666666
142,alesi,15.722222222222221,11.0,16.0,15.833333333333334
142,burti,9.5,9.5,9.5,9.5
142,button,11.38888888888889,18.0,11.0,9.083333333333334
142,mazzacane,14.11111111111111,13.0,13.8125,14.0
142,alonso,12.0,12.0,12.0,12.0
142,marques,20.0,20.0,20.0,20.0
142,fisichella,11.277777777777779,9.0,11.0625,12.416666666666666
142,villeneuve,10.055555555555555,5.0,10.8125,11.0
142,heidfeld,14.941176470588236,21.0,15.533333333333333,15.727272727272727
142,bernoldi,21.0,21.0,21.0,21.0
142,montoya,15.0,15.0,15.0,15.0
142,irvine,11.529411764705882,6.0,11.733333333333333,11.818181818181818
142,panis,7.0,7.0,7.0,7.0
142,raikkonen,6.0,6.0,6.0,6.0
143,coulthard,4.894736842105263,11.0,5.117647058823529,4.461538461538462
143,michael_schumacher,4.842105263157895,1.0,4.411764705882353,4.615384615384615
143,heidfeld,15.055555555555555,19.0,15.625,15.833333333333334
143,panis,14.0,14.0,14.0,14.0
143,trulli,13.105263157894736,4.0,13.0,12.76923076923077
